한자표기,읽기(히라가나),품사,JLPT레벨
"ある·有る","ある","動詞","N5"
"お金","おかね","名詞","N5"
"お兄さん","おにいさん","名詞","N5"
"お姉さん","おねえさん","名詞","N5"
"お茶","おちゃ","名詞","N5"
"お父さん","おとうさん","名詞","N5"
"お母さん","おかあさん","名詞","N5"
"そら·空","そら","名詞","N5"
"ターター","セーター","名詞","N5"
"ない·無い","ない","形容詞","N5"
"悪い","わるい","形容詞","N5"
"安い","やすい","形容詞","N5"
"暗い","くらい","形容詞","N5"
"位","くらい","名詞","N5"
"意味","いみ","名詞","N5"
"椅子","いす","名詞","N5"
"為る","する","動詞","N5"
"医者","いしゃ","名詞","N5"
"一","いち","名詞","N5"
"一つ","ひとつ","名詞","N5"
"一昨日","おととい","名詞","N5"
"一昨年","おととし","名詞","N5"
"一時","いちじ","名詞","N5"
"一人","ひとり","名詞","N5"
"一寸","ちょっと","名詞","N5"
"一日","いちにち","名詞","N5"
"一番","いちばん","名詞","N5"
"飲み物","のみもの","名詞","N5"
"飲む","のむ","動詞","N5"
"右","みぎ","名詞","N5"
"雨","あめ","名詞","N5"
"泳ぐ","およぐ","動詞","N5"
"英語","えいご","名詞","N5"
"駅","えき","名詞","N5"
"円","えん","名詞","N5"
"遠い","とおい","形容詞","N5"
"鉛筆","えんぴつ","名詞","N5"
"塩","しお","名詞","N5"
"汚い","きたない","形容詞","N5"
"奥さん","おくさん","名詞","N5"
"押す","おす","動詞","N5"
"横","よこ","名詞","N5"
"黄色い","きいろい","形容詞","N5"
"音楽","おんがく","名詞","N5"
"下","した","名詞","N5"
"何","なに","名詞","N5"
"何の","どの","名詞","N5"
"何れ","どれ","名詞","N5"
"何故","なぜ","副詞","N5"
"何時","いつ","名詞","N5"
"何時も","いつも","副詞","N5"
"何処·何所","どこ","名詞","N5"
"何卒","どうぞ","副詞","N5"
"何方","どちら","名詞","N5"
"何様な","どんな","副詞","N5"
"可愛い","かわいい","形容詞","N5"
"夏","なつ","名詞","N5"
"夏休み","なつやすみ","名詞","N5"
"家","いえ","名詞","N5"
"家族","かぞく","名詞","N5"
"暇","ひま","名詞","N5"
"果物","くだもの","名詞","N5"
"歌","うた","名詞","N5"
"歌う","うたう","動詞","N5"
"火曜日","かようび","名詞","N5"
"花","はな","名詞","N5"
"花瓶","かびん","名詞","N5"
"会う","あう","動詞","N5"
"会社","かいしゃ","名詞","N5"
"海","うみ","名詞","N5"
"灰皿","はいざら","名詞","N5"
"皆","みんな","名詞","N5"
"皆さん","みなさん","名詞","N5"
"絵","え","名詞","N5"
"開く","あく","動詞","N5"
"開ける","あける","動詞","N5"
"階段","かいだん","名詞","N5"
"外","そと","名詞","N5"
"外国人","がいこくじん","名詞","N5"
"覚える","おぼえる","動詞","N5"
"角","かど","名詞","N5"
"学校","がっこう","名詞","N5"
"学生","がくせい","名詞","N5"
"楽しい","たのしい","形容詞","N5"
"掛かる","かかる","動詞","N5"
"鞄","かばん","名詞","N5"
"寒い","さむい","形容詞","N5"
"漢字","かんじ","名詞","N5"
"甘い","あまい","形容詞","N5"
"丸い","まるい","形容詞","N5"
"眼鏡","めがね","名詞","N5"
"顔","かお","名詞","N5"
"危ない","あぶない","形容詞","N5"
"机","つくえ","名詞","N5"
"帰る","かえる","動詞","N5"
"貴方","あなた","名詞","N5"
"起きる","おきる","動詞","N5"
"喫茶店","きっさてん","名詞","N5"
"休み","やすみ","名詞","N5"
"休む","やすむ","動詞","N5"
"吸う","すう","動詞","N5"
"牛肉","ぎゅうにく","名詞","N5"
"牛乳","ぎゅうにゅう","名詞","N5"
"去年","きょねん","名詞","N5"
"居る","いる","動詞","N5"
"魚","さかな","名詞","N5"
"強い","つよい","形容詞","N5"
"教える","おしえる","動詞","N5"
"教室","きょうしつ","名詞","N5"
"狭い","せまい","形容詞","N5"
"蕎麦","そば","名詞","N5"
"曲がる","まがる","動詞","N5"
"近い","ちかい","形容詞","N5"
"近く","ちかく","名詞","N5"
"銀行","ぎんこう","名詞","N5"
"九","きゅう","名詞","N5"
"九日","ここのか","名詞","N5"
"靴","くつ","名詞","N5"
"靴下","くつした","名詞","N5"
"兄","あに","名詞","N5"
"兄弟","きょうだい","名詞","N5"
"警官","けいかん","名詞","N5"
"軽い","かるい","形容詞","N5"
"結婚","けっこん","名詞","N5"
"嫌","いや","名詞","N5"
"嫌い","きらい","名詞","N5"
"建物","たてもの","名詞","N5"
"犬","いぬ","名詞","N5"
"見せる","みせる","動詞","N5"
"見る","みる","動詞","N5"
"鍵","かぎ","名詞","N5"
"元気","げんき","名詞","N5"
"言う","いう","動詞","N5"
"古い","ふるい","形容詞","N5"
"呼ぶ","よぶ","動詞","N5"
