어휘,품사,레벨
가게,명사,1급
가격02,명사,1급
가구02,명사,1급
가깝다,형용사,1급
가다01,동사,1급
가르치다,동사,1급
가방,명사,1급
가볍다,형용사,1급
가수,명사,1급
가요,명사,1급
가운데,명사,1급
가을,명사,1급
가장01,부사,1급
가족,명사,1급
가지03,의존명사,1급
가지다01,동사,1급
갈비,명사,1급
갈비탕,명사,1급
갈아타다,동사,1급
감01,명사,1급
감기,명사,1급
감사01,명사,1급
값,명사,1급
같다,형용사,1급
같이01,부사,1급
개01,명사,1급
개03,의존명사,1급
거기,대명사,1급
거실,명사,1급
건강,명사,1급
건너편,명사,1급
건물,명사,1급
걷다02,동사,1급
걸다02,동사,1급
걸리다01,동사,1급
것,의존명사,1급
게임,명사,1급
겨울,명사,1급
계속02/계속01,부사/ 명사,1급
계시다01,동사,1급
계절,명사,1급
계획,명사,1급
고기01,명사,1급
고르다01,동사,1급
고맙다01,형용사,1급
고양이,명사,1급
고프다,형용사,1급
고향,명사,1급
곳,명사,1급
공부,명사,1급
공원02,명사,1급
공책,명사,1급
공항,명사,1급
과일,명사,1급
괜찮다,형용사,1급
교실,명사,1급
교통,명사,1급
구01/구02,수사/ 관형사,1급
구경,명사,1급
구두01,명사,1급
구십01/구십02,수사/ 관형사,1급
구월,명사,1급
국적,명사,1급
권,의존명사,1급
귀01,명사,1급
귤,명사,1급
그02/그01,관형사/대명사,1급
그것,대명사,1급
그래01,감탄사,1급
그래서01,부사,1급
그러니까,부사,1급
그러면01,부사,1급
그런데01,부사,1급
그럼01,부사,1급
그럼03,감탄사,1급
그렇다,형용사,1급
그렇지만,부사,1급
그릇,명사,1급
그리고,부사,1급
그리다02,동사,1급
그림,명사,1급
그저께02/그저께01,부사/명사,1급
그쪽,대명사,1급
극장,명사,1급
근처,명사,1급
글,명사,1급
글쎄요,감탄사,1급
금요일,명사,1급
기간02,명사,1급
기다리다,동사,1급
기분,명사,1급
기쁘다,형용사,1급
기숙사,명사,1급
기차,명사,1급
길01,명사,1급
길다02,형용사,1급
김밥,명사,1급
김치,명사,1급
김치찌개,명사,1급
깨끗하다,형용사,1급
꼭02,부사,1급
꽃,명사,1급
끄다,동사,1급
끝나다,동사,1급
나01/나00,대명사/명사,1급
나가다01,동사,1급
나다01,동사,1급
나라,명사,1급
나무,명사,1급
나쁘다,형용사,1급
나오다,동사,1급
나중,명사,1급
날01/날02,명사/ 의존명사,1급
날씨,명사,1급
날짜,명사,1급
남대문,명사,1급
남동생,명사,1급
남산,명사,1급
남자02,명사,1급
남편,명사,1급
낮,명사,1급
낮다,형용사,1급
내03,대명사,1급
내년,명사,1급
내리다,동사,1급
내일01/내일02,명사/부사,1급
냉면,명사,1급
너01,대명사,1급
너무,부사,1급
넓다,형용사,1급
넣다,동사,1급
네02,관형사,1급
네03,감탄사,1급
넷,수사,1급
년02,의존명사,1급
노래,명사,1급
노래방,명사,1급
놀다,동사,1급
농구,명사,1급
높다,형용사,1급
누구,대명사,1급
누나,명사,1급
눈01,명사,1급
눈04,명사,1급
뉴스,명사,1급
늦다02/늦다01,형용사/동사,1급
다01/다02,부사/명사,1급
다녀오다,동사,1급
다니다,동사,1급
다르다,형용사,1급
다른,관형사,1급
다리01,명사,1급
다섯02/다섯01,수사/관형사,1급
다시,부사,1급
다음,명사,1급
단어,명사,1급
닫다,동사,1급
달01/달02,명사/의존명사,1급
